STATUS CODE,CLOSE/OPEN,AREA CHECK POINT,GROUPING,TRIGGER STATUS,IDENTIFIKASI,DESCRIPTION,DEFINISI (Bahasa Indonesia),DISPLAYED AT ORION,-,DISPLAYED AT WEBSITE,-.1,DISPLAYED AT MYJNE,SMS NOTIFICATION SCRIPT,STATUS POD,STATUS FOLLOW UP
X9,,"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",,XR (IRREG),DID NOT PASS X-RAY CHECK -FORBIDDEN,PENUNDAAN PROSES PENGIRIMAN KARENA TIDAK LOLOS PEMERIKSAAN X-RAY ATAUPUN TERMASUK KATEGORI KIRIMAN YANG DILARANG,SHIPMENT BEING HELD DUE TO DID NOT PASS X-RAY CHECK -FORBIDDEN,Y,SHIPMENT IS BEING HELD.DID NOT PASS X-RAY SCANNING,Y,Y,"Pelanggan Yth, kiriman xxxxxxxxxxxxxxxx tdk lolos x-ray terkait regulasi yg berlaku, kiriman akan kami kembalikan. Hub JNE dikota anda",,
X10,,"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",,XR (IRREG),"DID NOT PASS X-RAY CHECK -DOCUMENTS ARE NOT COMPLETE (LIQUID, POWDER, GEL)",PENUNDAAN PROSES PENGIRIMAN KARENA TIDAK LOLOS PEMERIKSAAN X-RAY KARENA DOKUMEN TIDAK LENGKAP,SHIPMENT BEING HELD DUE TO DID NOT PASS X-RAY CHECK -DOCUMENTS ARE NOT COMPLETE,Y,SHIPMENT IS BEING HELD.DID NOT PASS X-RAY SCANNING,Y,Y,"Plgn YTH, kiriman xxxxxxxxxxxxxxxx tdk lolos x-ray krn dokumen tdk lengkap, mohon dokumen segera dilengkapi atau kiriman kami kembalikan. Hub JNE di kota anda",,
PS1,OPEN,OUTBOUND,PROBLEM SHIPMENT,,PROPOSE DI FUNGSI MODULE IRREG,DAMAGE,"KIRIMAN RUSAK, MENUNGGU INSTRUKSI UNTUK PROSES LEBIH LANJUT","SHIPMENT DAMAGE, WAITING FOR FURTHER INSTRUCTION",Y,SHIPMENT PROBLEM,Y,Y,,,IT
PS2,OPEN,"TRANSPORT
 ",PROBLEM SHIPMENT,,PROPOSE DI FUNGSI MODULE IRREG,MISROUTE,KIRIMAN SALAH AREA TUJUAN ,SHIPMENTS SHIPPED TO WRONG DESTINATION,Y,TRANSPORT PROBLEM,Y,Y,,,IT
HL3,OPEN,INBOUND ,"HOLD 
PROCESS ",,PROPOSE DI MANIFEST TRANSIT,WAITING FOR NEXT DEPARTURE SCHEDULE TO FINAL DESTINATION,MENUNGGU JADWAL PENERUSAN KE KOTA TUJUAN AKHIR,WAITING FOR NEXT DEPARTURE SCHEDULE TO FINAL DESTINATION,Y,WAITING FOR NEXT DEPARTURE SCHEDULE TO FINAL DESTINATION,Y,Y,,CLOSE / UNDEL,IT
CL1,OPEN - AUTOCLOSE,OUTBOUND,AUTO CLOSE,,RUNSHEET (DRI),AUTO CLOSE ORIGIN,,,,,N,N,,CLOSE / IRREG,
CL2,OPEN - AUTOCLOSE,INBOUND ,AUTO CLOSE,,RUNSHEET (DRI),AUTO CLOSE DESTINATION,,,,,N,N,,CLOSE / IRREG,
CL4,OPEN - AUTOCLOSE,INBOUND,AUTO CLOSE,,RUNSHEET (DRI),AUTO CLOSE DESTINATION,,,,,,,,,
CR3,OPEN,UNDEL,CUSTOMER REQUEST,,RUNSHEET (DRI),SHIPMENT PICKED UP BY CONSIGNEE,DIAMBIL SENDIRI,,,SHIPMENT PICKED UP BY CONSIGNEE AS REQUESTED BY SHIPPER/CONSIGNEE,,,,CLOSE / CR,
CR2,OPEN,SCO,CUSTOMER REQUEST,,PROPOSE DI FUNGSI MODULE IRREG,CANCEL BY SHIPPER,KIRIMAN DIBATALKAN ATAS PERMINTAAN PENGIRIM,SHIPMENT CANCELLED BY SHIPPER,Y,SHIPMENT CANCELED AS SHIPPERS REQUEST,Y,Y,,CLOSE / RETURN ORIGIN,IT
CR1,OPEN - CR1,OUTBOUND,RETURN,,PROPOSE DI FUNGSI MODULE IRREG,RETURN TO SHIPPER,KIRIMAN DIKEMBALIKAN KE PENGIRIM,SHIPMENT RETURNED TO SHIPPER,Y,SHIPMENT RETURN,Y,Y,,CLOSE / RETURN ORIGIN,IT
D01,CLOSE, DELIVERY,DELIVERED,,RUNSHEET (DRI),SHIPMENT RECEIVED BY CONSIGNEE,YANG BERSANGKUTAN,,,SHIPMENT RECEIVED BY CONSIGNEE,,,,CLOSE / SUKSES,
D02,CLOSE, DELIVERY,DELIVERED,,RUNSHEET (DRI),SHIPMENT RECEIVED BY RECEPTIONIST,RECEPTIONIST,,,SHIPMENT RECEIVED BY RECEPTIONIST,,,,CLOSE / SUKSES,
D03,CLOSE, DELIVERY,DELIVERED,,RUNSHEET (DRI),SHIPMENT RECEIVED BY SECRETARY,SEKRETARIS,,,SHIPMENT RECEIVED BY SECRETARY,,,,CLOSE / SUKSES,
D04,CLOSE, DELIVERY,DELIVERED,,RUNSHEET (DRI),SHIPMENT RECEIVED BY SECURITY,SECURITY,,,SHIPMENT RECEIVED BY SECURITY OFFICER,,,,CLOSE / SUKSES,
D05,CLOSE, DELIVERY,DELIVERED,,RUNSHEET (DRI),SHIPMENT RECEIVED BY MAILING ROOM,MAILING ROOM,,,SHIPMENT RECEIVED BY MAILING ROOM OFFICER,,,,CLOSE / SUKSES,
D06,CLOSE, DELIVERY,DELIVERED,,RUNSHEET (DRI),SHIPMENT RECEIVED BY IMMEDIATE FAMILY,SUAMI/ISTRI/ANAK,,,SHIPMENT RECEIVED BY IMMEDIATE FAMILY,,,,CLOSE / SUKSES,
D07,CLOSE, DELIVERY,DELIVERED,,RUNSHEET (DRI),SHIPMENT RECEIVED BY HOUSE KEEPER,PEMBANTU,,,SHIPMENT RECEIVED BY HOUSE KEEPER/DRIVER,,,,CLOSE / SUKSES,
