SYSCODE,CODE,REGIONAL,KABUPATEN,KECAMATAN,STATUS,THREE LETTER CODE,MANIFEST DOMESTIC,MANIFEST INTERCITY,ZONA TARIF (PPDD),ZONA DELEVERY (QCE),RING ORIGIN,WILAYAH
MES21508,MES,SUMATERA,Kab. Batubara,Sei Suka,CABANG,MES-SES,MES21508,MES21508,C,C,RING 2,SUM-UT
MES21509,MES,SUMATERA,Batu Bara,Nibung Hangus,,MES-SES,MES21508,MES21508,C,C,RING 2,SUM-UT
MES21510,MES,SUMATERA,Batu Bara,Datuk Tanah Datar,,MES-SES,MES21508,MES21508,C,C,RING 2,SUM-UT
MES21511,MES,SUMATERA,Batu Bara,Laut Tador,,MES-SES,MES21508,MES21508,C,C,RING 2,SUM-UT
MES21512,MES,SUMATERA,Batu Bara,Pagurawan,,MES-SES,MES21508,MES21508,C,C,RING 2,SUM-UT
MES22100,MES,SUMATERA,Pakpak Bharat,Salak,CABANG,MES-SAL,MES10000,MES22100,B,B,RING 2,SUM-UT
MES22101,MES,SUMATERA,Pakpak Bharat,Kerajaan,,MES-SLI,MES10000,MES22100,C,C,RING 2,SUM-UT
MES22102,MES,SUMATERA,Pakpak Bharat,Sitellu Tali Urang Jehe,,MES-SAL,MES10000,MES22100,C,C,RING 2,SUM-UT
MES22103,MES,SUMATERA,Pakpak Bharat,Sitellu Tali Urang Julu,,MES-SAL,MES10000,MES22100,C,C,RING 2,SUM-UT
MES22104,MES,SUMATERA,Pakpak Bharat,Pergetteng Getteng Sengkut,,MES-SAL,MES10000,MES22100,C,C,RING 2,SUM-UT
MES22105,MES,SUMATERA,Pakpak Bharat,Pagindar,,MES-SAL,MES10000,MES22100,C,C,RING 2,SUM-UT
MES22106,MES,SUMATERA,Pakpak Bharat,Siempat Rube,,MES-SAL,MES10000,MES22100,C,C,RING 2,SUM-UT
MES22107,MES,SUMATERA,Pakpak Bharat,Tinada,,MES-SAL,MES10000,MES22100,C,C,RING 2,SUM-UT
MES22200,MES,SUMATERA,Kab. Samosir,Pangururan,CABANG,MES-PRR,MES10000,MES22200,B,B,RING 2,SUM-UT
MES22201,MES,SUMATERA,Samosir,Harian,,MES-PRR,MES10000,MES22200,C,C,RING 2,SUM-UT
MES22202,MES,SUMATERA,Samosir,Nainggolan,,MES-PRR,MES10000,MES22200,C,C,RING 2,SUM-UT
MES22203,MES,SUMATERA,Samosir,Onan Runggu,,MES-PRR,MES10000,MES22200,C,C,RING 2,SUM-UT
MES22204,MES,SUMATERA,Samosir,Palipi,,MES-PRR,MES10000,MES22200,C,C,RING 2,SUM-UT
MES22205,MES,SUMATERA,Samosir,Ronggur Nihuta,,MES-PRR,MES10000,MES22200,C,C,RING 2,SUM-UT
MES22206,MES,SUMATERA,Samosir,Sianjur Mula Mula,,MES-PRR,MES10000,MES22200,C,C,RING 2,SUM-UT
MES22207,MES,SUMATERA,Samosir,Simanindo,,MES-PRR,MES10000,MES22200,C,C,RING 2,SUM-UT
MES22208,MES,SUMATERA,Samosir,Sitio-tio,,MES-PRR,MES10000,MES22200,C,C,RING 2,SUM-UT
MES22300,MES,SUMATERA,Kab. Serdang Bedagai,Sei Rampah,CABANG,MES-RMH,MES10000,MES22300,B,B,RING 2,SUM-UT
MES22301,MES,SUMATERA,Serdang Bedagai,Bandar Khalifah,,MES-TBT,MES10000,MES21100,C,C,RING 2,SUM-UT
MES22302,MES,SUMATERA,Serdang Bedagai,Dolok Masihul,,MES-RMH,MES10000,MES22300,C,C,RING 2,SUM-UT
MES22303,MES,SUMATERA,Serdang Bedagai,Dolok Merawan,,MES-TBT,MES10000,MES21100,C,C,RING 2,SUM-UT
MES22304,MES,SUMATERA,Serdang Bedagai,Kotarih,,MES-RMH,MES10000,MES22300,C,C,RING 2,SUM-UT
MES22305,MES,SUMATERA,Serdang Bedagai,Pantai Cermin,,MES-RMH,MES10000,MES22300,C,C,RING 2,SUM-UT
MES22306,MES,SUMATERA,Serdang Bedagai,Perbaungan,,MES-RMH,MES10000,MES22300,C,C,RING 2,SUM-UT
